dist,flag,Action,herd_name_clean,carnegie_name_clean,carnegie_city,herd_carnegieCycle,carnegie_year
0.115384615,Possible Bad Match,Good Match,carnegie mellon u,carnegie mellon university,pittsburgh,1987,1987
0.115384615,Possible Bad Match,Good Match,carnegie mellon u,carnegie mellon university,pittsburgh,1994,1994
0.115384615,Possible Bad Match,Good Match,carnegie mellon u,carnegie mellon university,pittsburgh,2000,2000
0.115384615,Possible Bad Match,Good Match,carnegie mellon u,carnegie mellon university,pittsburgh,2005,2005
0.076923077,Possible Bad Match,Good Match,carnegie mellon univ,carnegie mellon university,pittsburgh,1987,1987
0.096774194,Possible Bad Match,Good Match,case western reserve u,case western reserve university,cleveland,1987,1987
0.096774194,Possible Bad Match,Good Match,case western reserve u,case western reserve university,cleveland,1994,1994
0.096774194,Possible Bad Match,Good Match,case western reserve u,case western reserve university,cleveland,2000,2000
0.096774194,Possible Bad Match,Good Match,case western reserve u,case western reserve university,cleveland,2005,2005
0.064516129,Possible Bad Match,Good Match,case western reserve univ,case western reserve university,cleveland,1976,1976
0.064516129,Possible Bad Match,Good Match,case western reserve univ,case western reserve university,cleveland,1987,1987
0.133751306,Possible Bad Match,Good Match,claremont graduate sch,claremont graduate university,claremont,2000,2000
0.114035088,Possible Bad Match,Good Match,colorado state university,colorado state university fort collins,fort collins,1976,1976
0.114035088,Possible Bad Match,Good Match,colorado state university,colorado state university fort collins,fort collins,1994,1994
0.114035088,Possible Bad Match,Good Match,colorado state university,colorado state university fort collins,fort collins,2000,2000
0.114035088,Possible Bad Match,Good Match,colorado state university,colorado state university fort collins,fort collins,2005,2005
0.09375,Possible Bad Match,Good Match,florida international u,florida international university,miami,2000,2000
0.107142857,Possible Bad Match,Good Match,george washington u,george washington university,washington,2000,2000
0.139534884,Possible Bad Match,Good Match,georgia institute of tech,georgia institute of technology main campus,atlanta,1987,1987
0.139534884,Possible Bad Match,Good Match,georgia institute of tech,georgia institute of technology main campus,atlanta,1994,1994
0.139534884,Possible Bad Match,Good Match,georgia institute of tech,georgia institute of technology main campus,atlanta,2000,2000
0.139534884,Possible Bad Match,Good Match,georgia institute of tech,georgia institute of technology main campus,atlanta,2005,2005
0.093023256,Possible Bad Match,Good Match,georgia institute of technology,georgia institute of technology main campus,atlanta,2005,2005
0.133333333,Possible Bad Match,Good Match,indiana university,indiana university bloomington,bloomington,1987,1987
0.133333333,Possible Bad Match,Good Match,indiana university,indiana university bloomington,bloomington,1994,1994
0.133333333,Possible Bad Match,Good Match,indiana university,indiana university bloomington,bloomington,2000,2000
0.133333333,Possible Bad Match,Good Match,indiana university,indiana university bloomington,bloomington,2005,2005
